holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,congestion_category,is_low_visibility,high_risk
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,Severe,0,0
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,High,0,0
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,High,1,1
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,Severe,1,1
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,High,0,0
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,Severe,0,0
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,Severe,0,0
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,Severe,0,0
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,Severe,0,0
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,High,0,0
,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539,High,0,0
,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784,Medium,0,0
,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361,Medium,0,0
,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529,Medium,0,0
,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963,Low,0,0
,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506,Low,0,0
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321,Low,0,0
,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273,Low,0,0
,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367,Low,0,0
,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814,Low,0,0
,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718,Medium,0,0
,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673,Severe,0,0
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511,Severe,0,0
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471,Severe,0,0
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097,Severe,0,0
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887,High,0,0
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337,Severe,0,0
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692,Severe,0,0
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137,Severe,0,0
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623,High,0,0
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591,High,0,0
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898,Medium,0,0
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637,Medium,0,0
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777,Medium,0,0
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015,Low,0,0
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598,Low,0,0
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369,Low,0,0
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312,Low,0,0
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367,Low,0,0
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835,Low,0,0
,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726,Medium,0,0
,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689,Severe,0,0
,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990,Severe,0,0
,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985,Severe,0,0
,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309,Severe,0,0
,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603,High,0,0
,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884,High,0,0
,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104,Severe,0,0
,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178,Severe,0,0
,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501,Severe,0,0
,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713,Severe,0,0
,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292,Severe,0,0
,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057,Severe,0,0
,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907,High,0,0
,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503,High,0,0
,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037,Medium,0,0
,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822,Medium,0,0
,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992,Medium,0,0
,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166,Low,0,0
,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627,Low,0,0
,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388,Low,0,0
,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368,Low,0,0
,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489,Medium,0,0
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537,Severe,1,1
,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628,Severe,1,1
,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534,Severe,1,1
,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403,Severe,0,0
,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770,High,0,0
,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217,Severe,1,1
,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870,Severe,1,1
,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967,Severe,0,0
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108,Severe,1,1
,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128,Severe,1,1
,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069,Severe,1,1
,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169,Severe,1,1
,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384,Severe,1,1
,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063,High,1,1
,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364,Medium,1,0
,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971,Medium,0,0
,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450,Medium,0,0
,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832,Medium,0,0
,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231,Medium,1,0
,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718,Low,1,0
,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545,Low,1,0
,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411,Low,0,0
,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688,Low,0,0
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352,Medium,0,0
,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072,Medium,0,0
,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342,Medium,0,0
,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258,High,0,0
,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861,High,0,0
