holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,weather_Clear,weather_Clouds,weather_Drizzle,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Smoke,weather_Snow,weather_Squall,weather_Thunderstorm,is_clear,is_rainy,high_cloud_coverage,has_precipitation,temp_normalized,traffic_volume_normalized,clouds_all_normalized,congestion_category
,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545,9,1,0,0.7071067811865476,-0.7071067811865475,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0.5523102469789134,1.1502053121913416,-0.2400486318484518,3
,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516,10,1,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0.6372689008497724,0.6323219406615713,0.6570466472736423,2
,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767,11,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,1,0,0.6545752933049445,0.7586472334253929,1.0415160526116827,2
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,1,0,0.6978412744428811,0.8889988303410493,1.0415160526116827,3
,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918,13,1,0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0.7772933488961807,0.8346437242912775,0.6570466472736423,2
,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181,14,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0.8229192926416435,0.9670084732828514,-1.2396690857273567,3
,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584,15,1,0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0.9369841520052915,1.169833544931537,-1.2396690857273567,3
,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015,16,1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,True,False,False,False,False,False,False,False,False,False,False,1,0,0,0,0.9912632919783381,1.3867506811116448,-1.2396690857273567,3
,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791,17,1,0,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,1.0132896096485577,1.2740141648602663,-0.7526745056325055,3
,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770,18,1,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,0.9314775725877366,0.760157097482331,-0.7526745056325055,2
